code,label,chapter,billable
A15,"Tuberculosis respiratoria, confirmada bacteriológica e histológicamente",Ciertas enfermedades infecciosas y parasitarias,false
A15.0,"Tuberculosis del pulmón, confirmada por hallazgo microscópico del bacilo tuberculoso en esputo, con o sin cultivo",Ciertas enfermedades infecciosas y parasitarias,true
A15.1,"Tuberculosis del pulmón, confirmada únicamente por cultivo",Ciertas enfermedades infecciosas y parasitarias,true
A15.2,"Tuberculosis del pulmón, confirmada histológicamente",Ciertas enfermedades infecciosas y parasitarias,true
A15.3,"Tuberculosis del pulmón, confirmada por medios no especificados",Ciertas enfermedades infecciosas y parasitarias,true
A15.4,"Tuberculosis de ganglios linfáticos intratorácicos, confirmada bacteriológica e histológicamente",Ciertas enfermedades infecciosas y parasitarias,true
A15.5,"Tuberculosis de laringe, tráquea y bronquios, confirmada bacteriológica e histológicamente",Ciertas enfermedades infecciosas y parasitarias,true
A15.6,"Pleuresía tuberculosa, confirmada bacteriológica e histológicamente",Ciertas enfermedades infecciosas y parasitarias,true
A15.7,"Tuberculosis respiratoria primaria, confirmada bacteriológica e histológicamente",Ciertas enfermedades infecciosas y parasitarias,true
A15.8,"Otras tuberculosis respiratorias, confirmadas bacteriológica e histológicamente",Ciertas enfermedades infecciosas y parasitarias,true
A15.9,"Tuberculosis respiratoria no especificada, confirmada bacteriológica e histológicamente",Ciertas enfermedades infecciosas y parasitarias,true
A16,"Tuberculosis respiratoria, no confirmada bacteriológica o histológicamente",Ciertas enfermedades infecciosas y parasitarias,false
A16.0,"Tuberculosis del pulmón, con examen bacteriológico e histológico negativos",Ciertas enfermedades infecciosas y parasitarias,true
A16.1,"Tuberculosis de pulmón, sin examen bacteriológico e histológico",Ciertas enfermedades infecciosas y parasitarias,true
A16.2,"Tuberculosis de pulmón, sin mención de confirmación bacteriológica o histológica",Ciertas enfermedades infecciosas y parasitarias,true
A16.3,"Tuberculosis de ganglios linfáticos intratorácicos, sin mención de confirmación bacteriológica o histológica",Ciertas enfermedades infecciosas y parasitarias,true
A16.4,"Tuberculosis de laringe, tráquea y bronquios, sin mención de confirmación bacteriológica o histológica",Ciertas enfermedades infecciosas y parasitarias,true
A16.5,"Pleuresía tuberculosa, sin mención de confirmación bacteriológica o histológica",Ciertas enfermedades infecciosas y parasitarias,true
