code,label,chapter,billable
1A00,Cólera,Algunas enfermedades infecciosas o parasitarias,true
1A01,Infección intestinal por otro Vibrio,Algunas enfermedades infecciosas o parasitarias,true
1A02,Infecciones intestinales por Shigella,Algunas enfermedades infecciosas o parasitarias,true
1A03,Infecciones intestinales por Escherichia coli,Algunas enfermedades infecciosas o parasitarias,false
1A03.0,Infección por Escherichia coli enteropatógena,Algunas enfermedades infecciosas o parasitarias,true
1A03.1,Infección por Escherichia coli enterotoxigénica [possible translation],Algunas enfermedades infecciosas o parasitarias,true
1A03.2,Infección por Escherichia coli enteroinvasora,Algunas enfermedades infecciosas o parasitarias,true
1A03.3,Infección por Escherichia coli enterohemorrágica,Algunas enfermedades infecciosas o parasitarias,true
1A03.Y,Infecciones intestinales especificadas por otra Escherichia coli,Algunas enfermedades infecciosas o parasitarias,true
1A03.Z,"Infecciones intestinales debidas a Escherichia coli, sin especificación",Algunas enfermedades infecciosas o parasitarias,true
1A04,Infecciones intestinales por Clostridium difficile,Algunas enfermedades infecciosas o parasitarias,true
1A05,Infecciones intestinales por Yersinia enterocolítica,Algunas enfermedades infecciosas o parasitarias,true
1A06,Gastroenteritis por Campylobacter,Algunas enfermedades infecciosas o parasitarias,true
1A07,Fiebre tifoidea,Algunas enfermedades infecciosas o parasitarias,false
1A07.0,Peritonitis tifoidea,Algunas enfermedades infecciosas o parasitarias,true
1A07.Y,Otra fiebre tifoidea especificada,Algunas enfermedades infecciosas o parasitarias,true
1A07.Z,"Fiebre tifoidea, sin especificación",Algunas enfermedades infecciosas o parasitarias,true
1A08,Fiebre paratifoidea,Algunas enfermedades infecciosas o parasitarias,true
1A09,Infecciones debidas a otra Salmonella,Algunas enfermedades infecciosas o parasitarias,false
1A09.0,Enteritis por Salmonella,Algunas enfermedades infecciosas o parasitarias,true
1A09.Y,Infecciones debidas a otra Salmonella en otros órganos,Algunas enfermedades infecciosas o parasitarias,true
1A09.Z,"Infección por otra Salmonella, sin especificación",Algunas enfermedades infecciosas o parasitarias,true
1A0Y,Otras infecciones intestinales bacterianas especificadas,Algunas enfermedades infecciosas o parasitarias,true
1A0Z,"Infecciones intestinales bacterianas, sin especificación",Algunas enfermedades infecciosas o parasitarias,true
1A10,Intoxicación alimentaria estafilocócica,Algunas enfermedades infecciosas o parasitarias,true
1A11,Botulismo,Algunas enfermedades infecciosas o parasitarias,false
1A11.0,Intoxicación alimentaria por toxina botulínica,Algunas enfermedades infecciosas o parasitarias,true
1A11.1,Otros tipos de botulismo,Algunas enfermedades infecciosas o parasitarias,true
1A11.Z,"Botulismo, sin especificación",Algunas enfermedades infecciosas o parasitarias,true
1A12,Intoxicación alimentaria por Clostridium perfringens,Algunas enfermedades infecciosas o parasitarias,true
1A13,Intoxicación alimentaria por Bacillus cereus,Algunas enfermedades infecciosas o parasitarias,true
1A1Y,Otras intoxicaciones bacterianas alimentarias especificadas,Algunas enfermedades infecciosas o parasitarias,true
1A1Z,"Intoxicaciones bacterianas alimentarias, sin especificación",Algunas enfermedades infecciosas o parasitarias,true
1A20,Enteritis por adenovirus,Algunas enfermedades infecciosas o parasitarias,true
1A21,Gastroenteritis debida a astrovirus,Algunas enfermedades infecciosas o parasitarias,true
1A22,Gastroenteritis por Rotavirus,Algunas enfermedades infecciosas o parasitarias,true
1A23,Enteritis por Norovirus,Algunas enfermedades infecciosas o parasitarias,true
1A24,Infecciones intestinales por Cytomegalovirus,Algunas enfermedades infecciosas o parasitarias,true
1A2Y,Otras virosis intestinales especificadas,Algunas enfermedades infecciosas o parasitarias,true
1A2Z,"Virosis intestinales, sin especificación",Algunas enfermedades infecciosas o parasitarias,true
1A30,Infecciones por Balantidium coli,Algunas enfermedades infecciosas o parasitarias,true
1A31,Giardiasis,Algunas enfermedades infecciosas o parasitarias,true
1A32,Criptosporidiosis,Algunas enfermedades infecciosas o parasitarias,true
1A33,Cistoisosporiasis,Algunas enfermedades infecciosas o parasitarias,false
1A33.0,Cistoisosporiasis del intestino delgado,Algunas enfermedades infecciosas o parasitarias,true
1A33.1,Cistoisosporiasis del colon,Algunas enfermedades infecciosas o parasitarias,true
1A33.Y,Otras infecciones especificadas por Cystoisospora,Algunas enfermedades infecciosas o parasitarias,true
1A33.Z,"Infecciones por Cystoisospora, sin especificación",Algunas enfermedades infecciosas o parasitarias,true
1A34,Sarcocistosis,Algunas enfermedades infecciosas o parasitarias,true
1A35,Blastocistosis,Algunas enfermedades infecciosas o parasitarias,true
1A36,Amebiasis,Algunas enfermedades infecciosas o parasitarias,false
1A36.0,Infecciones intestinales por Entamoeba,Algunas enfermedades infecciosas o parasitarias,false
1A36.00,Amebiasis aguda,Algunas enfermedades infecciosas o parasitarias,true
1A36.01,Ameboma del intestino,Algunas enfermedades infecciosas o parasitarias,true
1A36.0Y,Otro(a)(s) infecciones intestinales por Entamoeba especificado(a)(s),Algunas enfermedades infecciosas o parasitarias,true
1A36.0Z,"Infecciones intestinales por Entamoeba, sin especificación",Algunas enfermedades infecciosas o parasitarias,true
1A36.1,Infecciones extraintestinales por Entamoeba,Algunas enfermedades infecciosas o parasitarias,false
1A36.10,Absceso amebiano del hígado,Algunas enfermedades infecciosas o parasitarias,true
